ds,solar_mw,wind_mw
2025-06-01 06:00,7622.74,0.0
2025-06-01 07:00,7597.2,0.0
2025-06-01 08:00,7162.91,0.0
2025-06-01 09:00,7341.19,0.0
2025-06-01 10:00,6538.47,0.0
2025-06-01 11:00,6901.3,0.0
2025-06-01 12:00,7150.96,2662.59
2025-06-01 13:00,6925.68,5099.92
2025-06-01 14:00,7442.77,7417.48
2025-06-01 15:00,7814.09,8989.89
2025-06-01 16:00,6895.44,11103.06
2025-06-01 17:00,6993.6,11967.32
2025-06-01 18:00,7304.14,11936.15
2025-06-01 19:00,7702.32,12129.55
2025-06-01 20:00,6882.19,10926.35
2025-06-01 21:00,36540.38,8987.56
2025-06-01 22:00,57033.06,6389.47
2025-06-01 23:00,59336.96,4361.34
2025-06-02 00:00,59454.4,2742.13
2025-06-02 01:00,35566.93,0.0
2025-06-02 02:00,7085.32,0.0
2025-06-02 03:00,7471.19,0.0
2025-06-02 04:00,7305.94,0.0
2025-06-02 05:00,6722.25,0.0
2025-06-02 06:00,7385.18,0.0
2025-06-02 07:00,7068.83,0.0
2025-06-02 08:00,7604.87,0.0
2025-06-02 09:00,7054.35,0.0
2025-06-02 10:00,7051.73,0.0
2025-06-02 11:00,7392.62,0.0
2025-06-02 12:00,7456.82,2875.98
2025-06-02 13:00,7365.69,5081.29
2025-06-02 14:00,6748.12,7270.38
2025-06-02 15:00,7391.72,9004.51
2025-06-02 16:00,6936.63,10990.05
2025-06-02 17:00,7304.09,12130.36
2025-06-02 18:00,6823.91,11850.45
2025-06-02 19:00,7365.18,11216.19
2025-06-02 20:00,7002.53,10372.04
2025-06-02 21:00,34323.75,9549.69
2025-06-02 22:00,61439.08,7285.52
2025-06-02 23:00,63410.62,4580.5
2025-06-03 00:00,61126.55,2578.53
2025-06-03 01:00,38280.12,0.0
2025-06-03 02:00,7108.45,0.0
2025-06-03 03:00,7245.29,0.0
2025-06-03 04:00,7313.83,0.0
2025-06-03 05:00,7056.64,0.0
2025-06-03 06:00,7372.36,0.0
2025-06-03 07:00,7081.59,0.0
2025-06-03 08:00,7116.85,0.0
2025-06-03 09:00,7630.4,0.0
2025-06-03 10:00,6934.81,0.0
2025-06-03 11:00,6537.64,0.0
2025-06-03 12:00,7702.26,2599.21
2025-06-03 13:00,7973.87,5033.26
2025-06-03 14:00,7118.69,7340.77
2025-06-03 15:00,6675.4,9864.04
2025-06-03 16:00,7146.13,10354.3
2025-06-03 17:00,7153.15,12055.75
2025-06-03 18:00,7181.02,11103.35
2025-06-03 19:00,6913.74,11450.76
2025-06-03 20:00,7403.74,10795.6
2025-06-03 21:00,36939.04,9525.73
2025-06-03 22:00,58919.65,7633.63
2025-06-03 23:00,64402.28,4614.06
2025-06-04 00:00,65127.06,2508.71
2025-06-04 01:00,36428.84,0.0
2025-06-04 02:00,7138.36,0.0
2025-06-04 03:00,7194.89,0.0
2025-06-04 04:00,7414.08,0.0
2025-06-04 05:00,6735.07,0.0
2025-06-04 06:00,7283.58,0.0
2025-06-04 07:00,7122.98,0.0
2025-06-04 08:00,7770.83,0.0
2025-06-04 09:00,7185.58,0.0
2025-06-04 10:00,7718.75,0.0
2025-06-04 11:00,6916.53,0.0
2025-06-04 12:00,7405.97,2715.34
2025-06-04 13:00,7328.44,5101.35
2025-06-04 14:00,6984.46,7558.08
2025-06-04 15:00,7287.34,9061.04
2025-06-04 16:00,7586.95,10570.01
2025-06-04 17:00,7142.28,11429.01
2025-06-04 18:00,6746.27,11335.26
2025-06-04 19:00,7230.91,11832.31
2025-06-04 20:00,6974.8,10524.38
2025-06-04 21:00,35684.54,9312.13
2025-06-04 22:00,56295.55,6818.44
2025-06-04 23:00,58515.79,4562.94
2025-06-05 00:00,58615.71,2719.55
2025-06-05 01:00,36877.62,0.0
2025-06-05 02:00,7084.7,0.0
2025-06-05 03:00,6493.66,0.0
2025-06-05 04:00,7463.16,0.0
2025-06-05 05:00,7314.83,0.0
2025-06-05 06:00,7029.37,0.0
2025-06-05 07:00,6854.85,0.0
2025-06-05 08:00,7477.91,0.0
2025-06-05 09:00,7337.11,0.0
2025-06-05 10:00,7925.62,0.0
2025-06-05 11:00,7357.61,0.0
2025-06-05 12:00,7348.21,2611.3
2025-06-05 13:00,7187.68,5317.64
2025-06-05 14:00,7472.4,7145.27
2025-06-05 15:00,7416.92,9230.99
2025-06-05 16:00,7598.29,10318.18
2025-06-05 17:00,7085.1,11448.84
2025-06-05 18:00,7109.97,12304.85
2025-06-05 19:00,7097.32,10804.33
2025-06-05 20:00,7464.89,10912.15
2025-06-05 21:00,38348.42,9395.98
2025-06-05 22:00,60416.99,7116.68
2025-06-05 23:00,62772.96,4294.7
2025-06-06 00:00,63024.16,2638.74
2025-06-06 01:00,35824.31,0.0
2025-06-06 02:00,7511.56,0.0
2025-06-06 03:00,6584.24,0.0
2025-06-06 04:00,6996.71,0.0
2025-06-06 05:00,7009.53,0.0
2025-06-06 06:00,6564.39,0.0
2025-06-06 07:00,6957.08,0.0
2025-06-06 08:00,6971.11,0.0
2025-06-06 09:00,7177.79,0.0
2025-06-06 10:00,7558.13,0.0
2025-06-06 11:00,7165.07,0.0
2025-06-06 12:00,6937.64,2804.1
2025-06-06 13:00,7219.51,4919.65
2025-06-06 14:00,7539.67,7232.52
2025-06-06 15:00,6953.51,8962.51
2025-06-06 16:00,6972.44,10558.53
2025-06-06 17:00,7397.66,10967.11
2025-06-06 18:00,7171.87,12207.16
2025-06-06 19:00,7423.4,11503.07
2025-06-06 20:00,7232.05,10094.75
2025-06-06 21:00,37195.42,8929.38
2025-06-06 22:00,60071.01,7515.55
2025-06-06 23:00,65484.0,4833.48
2025-06-07 00:00,62137.44,2860.62
2025-06-07 01:00,34420.34,0.0
2025-06-07 02:00,6783.46,0.0
2025-06-07 03:00,7434.48,0.0
2025-06-07 04:00,7134.42,0.0
2025-06-07 05:00,6940.11,0.0
2025-06-07 06:00,7208.16,0.0
2025-06-07 07:00,7562.49,0.0
2025-06-07 08:00,6575.86,0.0
2025-06-07 09:00,6802.81,0.0
2025-06-07 10:00,6968.88,0.0
2025-06-07 11:00,7658.92,0.0
2025-06-07 12:00,7317.79,2632.24
2025-06-07 13:00,7458.09,4951.28
2025-06-07 14:00,6905.99,6925.25
2025-06-07 15:00,6911.96,9126.42
2025-06-07 16:00,7365.61,10702.7
2025-06-07 17:00,7252.86,12426.99
2025-06-07 18:00,7394.82,11966.74
2025-06-07 19:00,7181.68,12062.47
2025-06-07 20:00,7316.5,10511.56
2025-06-07 21:00,36408.81,8866.32
2025-06-07 22:00,63941.57,7061.54
2025-06-07 23:00,66155.4,4441.98
2025-06-08 00:00,58605.15,2874.58
2025-06-08 01:00,32927.73,0.0
2025-06-08 02:00,7525.94,0.0
2025-06-08 03:00,7579.77,0.0
2025-06-08 04:00,6940.59,0.0
2025-06-08 05:00,6697.69,0.0
2025-06-08 06:00,7264.66,0.0
2025-06-08 07:00,7505.42,0.0
2025-06-08 08:00,7756.29,0.0
2025-06-08 09:00,7385.43,0.0
2025-06-08 10:00,7128.41,0.0
2025-06-08 11:00,6977.49,0.0
2025-06-08 12:00,7239.31,2513.63
2025-06-08 13:00,7149.38,5200.92
2025-06-08 14:00,6942.19,7891.29
2025-06-08 15:00,7828.99,9367.04
2025-06-08 16:00,7752.69,10674.87
2025-06-08 17:00,7564.81,11738.93
2025-06-08 18:00,6969.46,12526.61
2025-06-08 19:00,7483.47,11708.08
2025-06-08 20:00,7421.13,10549.47
2025-06-08 21:00,36820.43,9719.35
2025-06-08 22:00,64836.15,7439.4
2025-06-08 23:00,66841.07,4938.89
2025-06-09 00:00,64520.5,2668.46
2025-06-09 01:00,37101.71,0.0
2025-06-09 02:00,7334.63,0.0
2025-06-09 03:00,6719.75,0.0
2025-06-09 04:00,7260.2,0.0
2025-06-09 05:00,7075.01,0.0
2025-06-09 06:00,6865.56,0.0
2025-06-09 07:00,7722.78,0.0
2025-06-09 08:00,7736.44,0.0
2025-06-09 09:00,7629.41,0.0
2025-06-09 10:00,7309.86,0.0
2025-06-09 11:00,7626.92,0.0
2025-06-09 12:00,7239.48,2648.5
2025-06-09 13:00,7294.69,5131.49
2025-06-09 14:00,6919.5,7522.69
2025-06-09 15:00,7350.9,9831.48
2025-06-09 16:00,7253.47,10764.64
2025-06-09 17:00,6858.96,11905.18
2025-06-09 18:00,7221.18,10928.44
2025-06-09 19:00,7212.92,11583.61
2025-06-09 20:00,7756.28,10364.0
2025-06-09 21:00,37474.08,8853.71
2025-06-09 22:00,62694.25,7161.74
2025-06-09 23:00,64994.82,4532.4
2025-06-10 00:00,62776.38,2746.1
2025-06-10 01:00,35886.32,0.0
2025-06-10 02:00,6922.7,0.0
2025-06-10 03:00,7192.28,0.0
2025-06-10 04:00,7020.04,0.0
2025-06-10 05:00,6874.1,0.0
2025-06-10 06:00,7383.96,0.0
2025-06-10 07:00,7349.24,0.0
2025-06-10 08:00,6718.85,0.0
2025-06-10 09:00,7200.49,0.0
2025-06-10 10:00,7524.19,0.0
2025-06-10 11:00,7542.58,0.0
2025-06-10 12:00,7532.91,2667.76
2025-06-10 13:00,7247.26,4941.21
2025-06-10 14:00,6991.41,7449.33
2025-06-10 15:00,6922.33,9392.44
2025-06-10 16:00,7335.74,11805.85
2025-06-10 17:00,7345.77,12477.56
2025-06-10 18:00,7608.6,11498.4
2025-06-10 19:00,7554.37,11472.81
2025-06-10 20:00,7197.72,10097.91
2025-06-10 21:00,34379.36,9087.56
2025-06-10 22:00,57998.04,7046.28
2025-06-10 23:00,60117.2,4459.58
2025-06-11 00:00,60878.31,2518.8
2025-06-11 01:00,35343.65,0.0
2025-06-11 02:00,7309.19,0.0
2025-06-11 03:00,7090.13,0.0
2025-06-11 04:00,7054.21,0.0
2025-06-11 05:00,7326.14,0.0
2025-06-11 06:00,7119.64,0.0
2025-06-11 07:00,7306.65,0.0
2025-06-11 08:00,7315.07,0.0
2025-06-11 09:00,6906.2,0.0
2025-06-11 10:00,7096.71,0.0
2025-06-11 11:00,7652.15,0.0
2025-06-11 12:00,6899.64,2532.83
2025-06-11 13:00,6623.35,5544.78
2025-06-11 14:00,6697.1,8284.97
2025-06-11 15:00,7244.42,8871.3
2025-06-11 16:00,7244.94,10567.78
2025-06-11 17:00,7201.95,11764.8
2025-06-11 18:00,7587.43,12727.89
2025-06-11 19:00,6462.37,11148.08
2025-06-11 20:00,7350.59,10620.54
2025-06-11 21:00,38439.69,9596.88
2025-06-11 22:00,53540.06,6756.67
2025-06-11 23:00,55498.85,3962.25
2025-06-12 00:00,55833.13,2420.48
2025-06-12 01:00,34885.68,0.0
2025-06-12 02:00,7141.56,0.0
2025-06-12 03:00,7649.17,0.0
2025-06-12 04:00,7767.81,0.0
2025-06-12 05:00,7138.76,0.0
2025-06-12 06:00,7787.4,0.0
2025-06-12 07:00,7246.29,0.0
2025-06-12 08:00,7743.58,0.0
2025-06-12 09:00,7208.99,0.0
2025-06-12 10:00,7273.93,0.0
2025-06-12 11:00,7341.78,0.0
2025-06-12 12:00,8156.08,2572.59
2025-06-12 13:00,7482.39,5230.65
2025-06-12 14:00,7031.28,7393.58
2025-06-12 15:00,7516.46,10086.76
2025-06-12 16:00,7131.27,11400.79
2025-06-12 17:00,7094.24,11785.36
2025-06-12 18:00,7498.98,11541.35
2025-06-12 19:00,7244.99,11089.8
2025-06-12 20:00,7316.63,11236.81
2025-06-12 21:00,36200.22,9405.3
